"Next","التالي",""
"Reference","مرجع",""
"Create Warehouse Transfer","إنشاء نقل المستودع",""
"Manage stock transfers between locations","إدارة نقل المخزون بين المواقع",""
"Loading…","جاري التحميل...",""
"Inventory Transfer","نقل المخزون",""
"Statistics","الإحصائيات",""
"Total Transfers","إجمالي النقلات",""
"Pending","معلقة",""
"In Transit","في النقل",""
"Completed","مكتملة",""
"Reference No.","رقم المرجع",""
"All","الكل",""
"Transfers","النقلات",""
"Transfer Records","سجلات النقل",""
"Loading transfers…","جاري التحميل النقلات...",""
"id","رقم",""
"Reference","مرجع",""
"Date","تاريخ",""
"From","من",""
"To","إلى",""
"Item Count","عدد المنتج",""
"Qty","كمية",""
"Actions","الإجراءات",""
"From Location","من الموقع",""
"To Location","إلى الموقع",""
"Count","عدد",""
"English","الإنجليزية",""
"Arabic","العربية",""
"System Settings","إعدادات النظام",""
"Save Settings","حفظ الإعدادات",""
"Store Info","معلومات المتجر",""
"Tax & Pricing","الضريبة والسعر",""
"Appearance","المظهر",""
"Sound Effects","الصوتيات",""
"Show Store Logo on Receipt","عرض شعار المتجر على الفاتورة",""
"Store Information","معلومات المتجر",""
"Store Name","اسم المتجر",""
"Store Address","عنوان المتجر",""
"Email","البريد الإلكتروني",""
"Commercial Registration Number","رقم التسجيل التجاري",""
"Receipt Settings","إعدادات الفاتورة",""
"Display your store logo on printed receipts","عرض شعار المتجر على الفاتورة المطبوعة",""
"Show Thank You Message","عرض رسالة شكراً على الفاتورة",""
"Add a thank you message at the bottom of receipts","إضافة رسالة شكراً في الأسفل للفاتورة",""
"Custom Footer Message","رسالة تذييل مخصصة",""
"Receipt Size","حجم الفاتورة",""
"Enable Tax Calculation","تمكين حساب الضريبة",""
"Tax Rate (%)","معدل الضريبة (%)",""
"Tax Name","اسم الضريبة",""
"Currency","العملة",""
"Currency and Price List are read from","العملة وقائمة الأسعار مقروءة من",""
"and cannot be changed here.","ولا يمكن تغييرها هنا.",""
"Round Prices","تقريب الأسعار",""
"No Rounding","لا تقريب",""
"Nearest","الأقرب",""
"Whole Number","الرقم كامل",""
"Dark Mode","الوضع المظلم",""
"Light Mode","الوضع الفاتح",""
"Enable Sound Effects","تمكين الصوتيات",""
"Play sounds on transactions and clicks","تشغيل الصوتيات على المعاملات والنقرات",""
"Printer Type","نوع الطابعة",""
"Paper Width (mm)","عرض الورقة (مم)",""
"Paper Height (mm)","ارتفاع الورقة (مم)",""
"Auto Print","طباعة تلقائية",""
"Automatically print receipt after completing a sale","طباعة الفاتورة تلقائياً بعد إكمال البيع",""
"Test Print","اختبار الطباعة",""
"Complete Sale","إكمال البيع",""
"Cancel Transaction","إلغاء المعاملة",""
"Quick Search","بحث سريع",""
"New Transaction","معاملة جديدة",""
"Working","جاري",""
"In Development","قيد التطوير",""
"Shortcuts work when the POS screen is open. Make sure no input field is focused when using Ctrl+F or Ctrl+N.","يعمل الاختصارات عندما تكون شاشة POS مفتوحة. تأكد من عدم تركيز حقل الإدخال عند استخدام Ctrl+F أو Ctrl+N.",""
"Show Scanner Status","عرض حالة الماسح",""
"Display whether the scanner is connected","عرض ما إذا كان الماسح متصلاً",""
"Automatic Backup","النسخ الاحتياطي تلقائي",""
"Automatically save data daily","حفظ البيانات اليومية تلقائياً",""
"Items Per Page","عناصر لكل صفحة",""
"items","عناصر",""
"Data Management","إدارة البيانات",""
"Data Export","تصدير البيانات",""
"Delete Sample Items","حذف عناصر التجريبية",""
"Reset All Data","إعادة تعيين كافة البيانات",""
"Loading shift details...","جاري تحميل تفاصيل الوردة...",""
"Print Report","طباعة التقرير",""
"Items Sold","المنتجات المباع",""
"Avg Invoice","متوسط الفاتورة",""
"item in cart","عنصر في السلة",""
"items in cart","عناصر في السلة",""
"Create Sample Data","إنشاء بيانات تجريبية",""
"Export Data","تصدير البيانات",""
"Print Summary","طباعة ملخص",""
"Newest","الأحدث",""
"Oldest","الأقدم",""
"Highest","الأعلى",""
"Lowest","الأقل",""
"Returnable Invoices","فواتير قابلة للمرتجع",""
"Process Return","معالجة المرتجع",""
"Open Invoice","فتح الفاتورة",""
"Invoices saved as draft for the current shift","الفواتير محفوظة كمسودة للوردية الحالية",""
"Select an invoice from the current shift to process a return","حدد فاتورة من الوردية الحالية لمعالجة المرتجع",""
"Drafts","مسودات",""
"Returnable","قابلة للمرتجع",""
"No drafts found","لا توجد مسودات",""
"Total items","إجمالي العناصر",""
"Total amount","إجمالي المبلغ",""
"Search by invoice number or customer...","بحث برقم الفاتورة أو العميل...",""
"results","نتائج",""
"Select an invoice to load return items","اختر فاتورة لتحميل عناصر المرتجع",""
"Add products to this draft invoice","أضف منتجات إلى هذه الفاتورة المسودة",""
"Barcode Manager","إدارة الباركود",""
"Assign Barcode","تعيين باركود",""
"Link a new or existing barcode to a product","ربط باركود جديد أو موجود بمنتج",""
"Select Product","اختر منتج",""
"Search product…","بحث منتج...",""
"barcodes","الباركودات",""
"Barcode Value","قيمة الباركود",""
"Enter or auto-generate","أدخل أو التوليد تلقائي",""
'Auto-generate',"التوليد تلقائي",""
"optional","اختياري",""
"None","لا شيء",""
"Confirm & Save","تأكيد وحفظ",""
"Barcode","الباركود",""
"Type","النوع",""
"Barcode Details","تفاصيل الباركود",""
"Select type","اختر نوع",""
"Complete steps 1 & 2 to continue","أكمل الخطوتين 1 و 2 للمتابعة",""
Saving…,"حفظ...",""
"Create and save barcodes for your products","إنشاء وحفظ باركودات لمنتجاتك",""
"Generate Barcode","إنشاء باركود",""
"Scan Barcode","مسح الباركود",""
"Product List","قائمة المنتجات",""
"Preview","معاينة",""
"Select product & type, then auto-generate value","اختر المنتج والنوع ثم يتم إنشاء القيمة تلقائيًا",""
"Focus the field and use a USB / Bluetooth barcode scanner, or type manually and press Enter.","قم بتفعيل الحقل واستخدم ماسح باركود USB أو Bluetooth، أو اكتب يدويًا واضغط Enter.",""
"Scan or enter a barcode to look up a product","امسح أو أدخل باركود للبحث عن منتج",""
"Scan barcode or enter manually…","امسح باركود أو أدخل يدويًا...",""
"Barcode Generation","توليد الباركود",""
"Barcode Type","نوع الباركود",""
"Leave empty to auto-generate","اترك فارغًا للتوليد تلقائيًا",""
"Products & Barcodes","المنتجات والباركودات",""
"Select a product","اختر منتجًا",""
"Active","نشط",""
"Inactive","غير نشط",""
"rows {0}","صفوف {0}",""
"All Groups","كل المجموعات",""
"Items & Barcodes","العناصر والباركودات",""
"No barcodes","لا توجد باركودات",""
"Showing","يعرض",""
"of","من",""
"Prev","السابق",""
"Delete Barcode","حذف الباركود",""
"Edit Barcode","تعديل الباركود",""
"Download","تحميل",""
"Shift ID","أسم الشيفت",""
"Basic Information","المعلومات الأساسية",""
"Started","بدء",""
"Duration","المدة",""
"Opening Notes","ملاحظه الشيفت",""
"Financial Summary","الملخص المالي",""
"Total Sales","إجمالي المبيعات",""
"Expected Cash","النقد المتوقع",""
"Avg. Transaction","متوسط المعاملة",""
"Transaction Summary","ملخص المعاملات",""
"Last {0}","آخر {0}",""
"{0} items","{0} عناصر",""
"No transactions yet", "لا توجد معاملات بعد",""
"Current Shift Details","تفاصيل الوردية الحالية",""
"Recent Transactions","المعاملات الأخيرة",""
"Last","الأخير",""
"Product Scanner","ماسح المنتجات",""
"POS","نقطة البيع",""
"Fast","سريع",""
"Normal","عادي",""
"Close","إغلاق",""
"Camera","الكاميرا",""
"Phone QR","رمز QR الهاتف",""
"Retry","إعادة المحاولة",""
"Tap to start camera","اضغط لتشغيل الكاميرا",""
"Start Scanner","تشغيل الماسح",""
"Barcode / Serial / Batch…","باركود / مسلسل / دفعة…",""
"Send","إرسال",""
"Stop Camera","إيقاف الكاميرا",""
"Start Camera","تشغيل الكاميرا",""
"Clear","مسح",""
"Added","مضاف",""
"Not Found","غير موجود",""
"Total","الإجمالي",""
"⚡ Fast","⚡ سريع",""
"🔒 Normal","🔒 عادي",""
"Scan Results","نتائج المسح",""
"added · {0} total","مضاف · {0} إجمالي",""
"Resolving…","جارٍ البحث…",""
"S/N","رقم المسلسل",""
"Batch","الدفعة",""
"Stock","المخزون",""
"Add to Cart","إضافة إلى السلة",""
"No scans yet","لا يوجد مسح بعد",""
"Use camera or type a value in the input","استخدم الكاميرا أو اكتب قيمة في الحقل",""
"Recent scans","عمليات المسح الأخيرة",""
"resolving…","جارٍ البحث…",""
"Not found","غير موجود",""
"Listening for barcodes…","في انتظار الباركود…",""
"Initializing…","جارٍ التهيئة…",""
"Session ID","معرّف الجلسة",""
"✓ Copied","✓ تم النسخ",""
"Copy URL","نسخ الرابط",""
"Added to cart ✓","تمت الإضافة إلى السلة ✓",""
"Generate & Save","إنشاء وحفظ",""
"Open your phone camera or QR reader","افتح كاميرا الهاتف أو قارئ QR",""
"Scan the QR code above","امسح رمز QR الموجود بالأعلى",""
"The scanner page opens in your browser","ستفتح صفحة الماسح في المتصفح",""
"Scan product barcodes – cart updates instantly","امسح باركود المنتجات – يتم تحديث السلة فورًا",""
"Select POS Profile","أختر نقط البيع",""
"Total Outstanding","إجمالي المستحق",""
"Total Selected","إجمالي المحدد",""
"No outstanding invoices found","لا توجد فواتير مستحقة",""
"Select a customer to view invoices","اختر عميلاً لعرض الفواتير",""
"Total Unallocated","إجمالي غير المخصص",""
"No payments found","لا توجد مدفوعات",""
"Search Mpesa Payments","البحث في مدفوعات Mpesa",""
"Search by Name","البحث بالاسم",""
"Search by Mobile","البحث برقم الجوال",""
"Payment information","معلومات الدفع",""
"Total Invoices","إجمالي الفواتير",""
"Total Payments","إجمالي المدفوعات",""
"Difference","الفرق",""
"Pay","دفع",""
"Processing..","جارٍ المعالجة..",""
"Note: Please ensure the entered information is correct before confirming payment.","ملاحظة: يرجى التأكد من صحة المعلومات المدخلة قبل تأكيد الدفع.",""
"Reconciled payments","المدفوعات المسوّاة",""
"Reconciliation details","تفاصيل التسوية",""
"Payment Entry","قيد الدفع",""
"Reconciled invoices","الفواتير المسوّاة",""
"Invoice","الفاتورة",""
"Due Date","تاريخ الاستحقاق",""
